task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_split,suggested_difficulty,suggested_hint,suggested_max_steps,metadata_json
navi_bench/redfin/everett_home_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for houses for sale in Everett with 3 bedrooms and a minimum of 2 bathrooms."", ""location"": ""Everett, WA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/5832/WA/Everett/filter/property-type=house,min-beds=3,max-beds=3,min-baths=2""]]}",real,redfin,realestate,everett_home_search,validation,hard,null,null,null
navi_bench/redfin/everett_rental_search/2,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find rentals in Everett priced between $1,500 and $2,500 and include parking."", ""location"": ""Everett, WA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/5832/WA/Everett/rentals/filter/min-price=1.5k,max-price=2.5k,has-parking""]]}",real,redfin,realestate,everett_rental_search,train,hard,null,null,null
navi_bench/redfin/ozark_property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for single-family houses for sale in Ozark under $350,000 with at least 3 bedrooms."", ""location"": ""Ozark, MO, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.redfin.com/city/14435/MO/Ozark/filter/property-type=house,max-price=350k,min-beds=3""]]}",real,redfin,realestate,ozark_property_search,validation,hard,null,null,null
navi_bench/redfin/jacksonville_property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find properties for sale in Jacksonville priced between $200,000 and $500,000 with at least 2 bathrooms."", ""location"": ""Jacksonville, FL, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/city/8907/FL/Jacksonville/filter/min-price=200k,max-price=500k,min-baths=2""]]}",real,redfin,realestate,jacksonville_property_search,train,hard,null,null,null
navi_bench/redfin/brooklyn_condo_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for condos for sale in Brooklyn under $1,000,000 with minimum 2 maximum 4 bedrooms and elevator access feature."", ""location"": ""Brooklyn, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/219258/NY/New-York/Brooklyn/filter/property-type=condo,max-price=1M,min-beds=2,max-beds=4,has-elevator""]]}",real,redfin,realestate,brooklyn_condo_search,train,hard,null,null,null
navi_bench/redfin/san_jose_property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find houses for sale in San Jose priced between $900,000 and $1,400,000 that have 3 bedrooms and air conditioning.."", ""location"": ""San Jose, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/17420/CA/San-Jose/filter/property-type=house,min-price=900k,max-price=1.4M,min-beds=3,max-beds=3,air-conditioning""]]}",real,redfin,realestate,san_jose_property_search,train,hard,null,null,null
navi_bench/redfin/san_jose_property_search/2,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for homes for sale in San Jose priced between $700k and $1.2M with minimum 3, maximum 4 bedrooms and minimum 2 bathrooms."", ""location"": ""San Jose, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/17420/CA/San-Jose/filter/min-price=700k,max-price=1.2M,min-beds=3,max-beds=4,min-baths=2""]]}",real,redfin,realestate,san_jose_property_search,train,hard,null,null,null
navi_bench/redfin/san_jose_property_search/3,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find houses for sale in San Jose with a minimum of 2000 square feet and at least 2 garage parking spaces."", ""location"": ""San Jose, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/17420/CA/San-Jose/filter/property-type=house,min-sqft=2k-sqft,min-parking=2""]]}",real,redfin,realestate,san_jose_property_search,train,hard,null,null,null
navi_bench/redfin/san_jose_property_search/4,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Look for San Jose homes for sale built in or after 2015 with air conditioning and a fireplace."", ""location"": ""San Jose, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/17420/CA/San-Jose/filter/min-year-built=2015,air-conditioning,fireplace""]]}",real,redfin,realestate,san_jose_property_search,train,hard,null,null,null
navi_bench/redfin/san_jose_property_search/5,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for townhouses for sale in San Jose with minimum 2 maximum 3 bedrooms where pets are allowed, only show listings which are currently active."", ""location"": ""San Jose, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/17420/CA/San-Jose/filter/property-type=townhouse,min-beds=2,max-beds=3,status=active,pets-allowed""]]}",real,redfin,realestate,san_jose_property_search,train,hard,null,null,null
navi_bench/redfin/san_jose_property_search/6,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find houses in San Jose for sale with a minimum lot size of 4500 square feet and a private pool."", ""location"": ""San Jose, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/17420/CA/San-Jose/filter/property-type=house,min-lot-size=4.5k-sqft,pool-type=private""]]}",real,redfin,realestate,san_jose_property_search,train,hard,null,null,null
navi_bench/redfin/brooklyn_property_search/2,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for homes for sale in Brooklyn priced between $500k and $900k with minimum 2 and maximum 4 bedrooms."", ""location"": ""Brooklyn, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/219258/NY/New-York/Brooklyn/filter/min-price=500k,max-price=900k,min-beds=2,max-beds=4""]]}",real,redfin,realestate,brooklyn_property_search,train,hard,null,null,null
navi_bench/redfin/brooklyn_property_search/3,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find Brooklyn homes for sale that allow pets and have at least 2 bathrooms."", ""location"": ""Brooklyn, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/219258/NY/New-York/Brooklyn/filter/min-baths=2,pets-allowed""]]}",real,redfin,realestate,brooklyn_property_search,train,hard,null,null,null
navi_bench/redfin/brooklyn_property_search/4,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Look for Brooklyn properties for sale with finished or unfinished basements and are on the waterfront."", ""location"": ""Brooklyn, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/219258/NY/New-York/Brooklyn/filter/water-front,basement-type=finished+unfinished"",""https://www.redfin.com/neighborhood/219258/NY/New-York/Brooklyn/filter/water-front,basement-type=finished"",""https://www.redfin.com/neighborhood/219258/NY/New-York/Brooklyn/filter/water-front,basement-type=unfinished""]]}",real,redfin,realestate,brooklyn_property_search,train,hard,null,null,null
navi_bench/redfin/brooklyn_property_search/5,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/neighborhood/219258/NY/New-York/Brooklyn/"", ""task"": ""Search for Brooklyn fixer-uppers for sale with a minimum of 3 stories."", ""location"": ""Brooklyn, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/219258/NY/New-York/Brooklyn/filter/is-fixer,min-stories=3""]]}",real,redfin,realestate,brooklyn_property_search,train,hard,null,null,null
navi_bench/redfin/brooklyn_property_search/6,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find Brooklyn properties for sale with at least 2 garage parking spaces and a private pool."", ""location"": ""Brooklyn, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/219258/NY/New-York/Brooklyn/filter/min-parking=2,pool-type=private""]]}",real,redfin,realestate,brooklyn_property_search,validation,hard,null,null,null
navi_bench/redfin/queens_home_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for homes for sale in Queens priced between $300k and $800k with at least 2 and maximum 3 bedrooms with minimum 2 bathrooms."", ""location"": ""Queens, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/min-price=300k,max-price=800k,min-beds=2,max-beds=3,min-baths=2""]]}",real,redfin,realestate,queens_home_search,train,medium,null,null,null
navi_bench/redfin/queens_home_search/2,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find Queens co-ops for sale with at least one parking space."", ""location"": ""Queens, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/property-type=co-op,min-parking=1""]]}",real,redfin,realestate,queens_home_search,validation,hard,null,null,null
navi_bench/redfin/queens_rental_search/3,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/rentals"", ""task"": ""Search for rental listings in Queens under $2,500 that are dog and cat friendly and allow parking."", ""location"": ""Queens, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/rentals/filter/max-price=2.5k,dogs-allowed,cats-allowed,has-parking""]]}",real,redfin,realestate,queens_rental_search,train,hard,null,null,null
navi_bench/redfin/queens_home_search/4,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Look for Queens homes for sale built in or after 2015 with 3 bedrooms."", ""location"": ""Queens, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/min-beds=3,max-beds=3,min-year-built=2015""]]}",real,redfin,realestate,queens_home_search,train,medium,null,null,null
navi_bench/redfin/queens_home_search/5,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find townhouses for sale in Queens with 1 to 3 bedrooms and no land lease."", ""location"": ""Queens, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/property-type=townhouse,min-beds=1,max-beds=3,exclude-land-lease""]]}",real,redfin,realestate,queens_home_search,train,hard,null,null,null
navi_bench/redfin/denver_home_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for homes for sale in Denver priced under $700k with 1 to 3 bedrooms."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/filter/max-price=700k,min-beds=1,max-beds=3""]]}",real,redfin,realestate,denver_home_search,train,medium,null,null,null
navi_bench/redfin/denver_home_search/2,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find 2 or 3 bedroom Denver homes for sale with at least 2 garage parking spaces, a private pool, and a view."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/filter/min-beds=2,max-beds=3,min-parking=2,has-view,pool-type=private"",""https://www.redfin.com/city/5155/CO/Denver/filter/min-beds=2,max-beds=2,min-parking=2,has-view,pool-type=private"",""https://www.redfin.com/city/5155/CO/Denver/filter/min-beds=3,max-beds=3,min-parking=2,has-view,pool-type=private""]]}",real,redfin,realestate,denver_home_search,train,hard,null,null,null
navi_bench/redfin/denver_rental_search/3,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for Denver rentals under $1,800 that allow dogs and include air conditioning."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/rentals/filter/max-price=1.8k,air-conditioning,dogs-allowed""]]}",real,redfin,realestate,denver_rental_search,train,hard,null,null,null
navi_bench/redfin/denver_home_search/4,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Look for Denver homes for sale with finished basements and fireplaces."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/filter/basement-type=finished,fireplace""]]}",real,redfin,realestate,denver_home_search,validation,medium,null,null,null
navi_bench/redfin/denver_home_search/5,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find Denver homes for sale with at least 2 bathrooms and built in or after 2010."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/filter/min-baths=2,min-year-built=2010""]]}",real,redfin,realestate,denver_home_search,train,medium,null,null,null
navi_bench/redfin/denver_rental_search/6,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/rentals"", ""task"": ""Search for furnished rentals in Denver priced between $1,000 and $2,500."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/rentals/filter/min-price=1k,max-price=2.5k,is-furnished""]]}",real,redfin,realestate,denver_rental_search,train,hard,null,null,null
navi_bench/redfin/queens_property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find homes in Queens for sale with minimum 2 bathrooms, and at least 1 garage parking spot."", ""location"": ""Queens, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/min-baths=2,min-parking=1""]]}",real,redfin,realestate,queens_property_search,train,medium,null,null,null
navi_bench/redfin/queens_property_search/2,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find homes in Queens for sale with 2 to 3 bedrooms, 1.5 bathrooms, and 2 parking spots."", ""location"": ""Queens, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/min-beds=2,max-beds=3,min-baths=1.5,min-parking=2""]]}",real,redfin,realestate,queens_property_search,train,medium,null,null,null
navi_bench/redfin/queens_property_search/3,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find townhouses for sale in Queens with minimum 2 maximum 4 bedrooms and 2 bathrooms."", ""location"": ""Queens, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/property-type=townhouse,min-beds=2,max-beds=4,min-baths=2""]]}",real,redfin,realestate,queens_property_search,train,medium,null,null,null
navi_bench/redfin/queens_property_search/4,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/condos"", ""task"": ""Look for condos or co-ops for sale in Queens having a view and air conditioning."", ""location"": ""Queens, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/property-type=condo+co-op,has-view,air-conditioning"",""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/property-type=condo,has-view,air-conditioning"",""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/property-type=co-op,has-view,air-conditioning""]]}",real,redfin,realestate,queens_property_search,train,easy,null,null,null
navi_bench/redfin/queens_property_search/5,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find properties for sale in Queens with finished or unfinished basements."", ""location"": ""Queens, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/basement-type=finished+unfinished"",""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/basement-type=finished"",""https://www.redfin.com/neighborhood/43309/NY/New-York/Queens/filter/basement-type=unfinished""]]}",real,redfin,realestate,queens_property_search,train,easy,null,null,null
navi_bench/redfin/denver_property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for homes for sale in Denver priced under $700,000 with minimum 3 bedrooms."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/filter/max-price=700k,min-beds=3""]]}",real,redfin,realestate,denver_property_search,train,medium,null,null,null
navi_bench/redfin/denver_property_search/2,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find Denver condos for sale with at least 2 garage parking spaces and an elevator."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/filter/property-type=condo,has-elevator,min-parking=2""]]}",real,redfin,realestate,denver_property_search,train,easy,null,null,null
navi_bench/redfin/denver_property_search/3,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Look for minimum 5 bedroom Denver houses for sale with fireplaces and air conditioning."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/filter/property-type=house,min-beds=5,air-conditioning,fireplace""]]}",real,redfin,realestate,denver_property_search,train,medium,null,null,null
navi_bench/redfin/denver_property_search/4,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/city/5155/CO/Denver"", ""task"": ""Search for Denver houses for sale with finished basements."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/filter/property-type=house,basement-type=finished""]]}",real,redfin,realestate,denver_property_search,validation,easy,null,null,null
navi_bench/redfin/denver_property_search/5,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find Denver properties for sale built in or after 2010 with at least 2 bathrooms."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/filter/min-baths=2,min-year-built=2010""]]}",real,redfin,realestate,denver_property_search,train,medium,null,null,null
navi_bench/redfin/pittsburgh_property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find homes for sale in Pittsburgh with at least 5 bedrooms under $500,000."", ""location"": ""Pittsburgh, PA, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/city/15702/PA/Pittsburgh/filter/max-price=500k,min-beds=5""]]}",real,redfin,realestate,pittsburgh_property_search,train,medium,null,null,null
navi_bench/redfin/nashville_property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for 4 bedroom Nashville homes for sale with at least 1 garage parking spot and air conditioning."", ""location"": ""Nashville, TN, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.redfin.com/city/13415/TN/Nashville/filter/min-beds=4,max-beds=4,min-parking=1,air-conditioning""]]}",real,redfin,realestate,nashville_property_search,train,easy,null,null,null
navi_bench/redfin/indianapolis_property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find homes for sale in Indianapolis with 2 to 4 bedrooms and minimum 2 bathrooms, built in or after 2015."", ""location"": ""Indianapolis, IN, United States"", ""timezone"": ""America/Indiana/Indianapolis"", ""gt_urls"": [[""https://www.redfin.com/city/9170/IN/Indianapolis/filter/min-beds=2,max-beds=4,min-baths=2,min-year-built=2015""]]}",real,redfin,realestate,indianapolis_property_search,validation,medium,null,null,null
